file_id,analysis_id,sample_id,inchikey,smiles_canonical,instrument,x_min,x_max,n_points,resolution,is_multifragment,has_unusual_elements,sampling_procedure,split,x_min_cm,x_max_cm
C2719235_0,C2719235_0,C2719235,WXPLRSVMGRAIGW-UHFFFAOYSA-N,CC(=O)Nc1nccs1,"Not specified, most likely a prism, grating, or hybrid spect",624.9960937744139,4835.58994197292,2046,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C27241936_0,C27241936_0,C27241936,WHBMWOAEFQIQBK-UHFFFAOYSA-N,Clc1ccc(NN=Cc2ccccc2Cl)cc1,"Not specified, most likely a prism, grating, or hybrid spect",626.0917474846764,4948.045522018803,2037,4,False,False,TRANSMISSION,confirm,628.0,4000.0
C27260646_0,C27260646_0,C27260646,OGKCWNMIXCBFQB-UHFFFAOYSA-N,Clc1ccc(C(Cl)(Cl)Cl)cc1C(Cl)(Cl)Cl,"Not specified, most likely a prism, grating, or hybrid spect",626.87671215702,4965.24329692155,2037,4,False,False,TRANSMISSION,confirm,628.0,4000.0
C2732185_0,C2732185_0,C2732185,KIQQFVJHWNCGAU-UHFFFAOYSA-N,O=c1ccc2c(O)cc(O)cc2o1,CARY 90 (GRATING),445.423,4003.25,3839,4,False,False,TRANSMISSION,confirm,446.0,4000.0
C27326278_0,C27326278_0,C27326278,UMPQTYNTXDMGCO-UHFFFAOYSA-N,CCCCCCCCCCCCOC(=O)CCS(=O)(=O)CCC(=O)OCCCCCCCCCCCC,"Not specified, most likely a prism, grating, or hybrid spect",625.8057248707711,5017.561465127948,2045,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C27357002_0,C27357002_0,C27357002,RJWFPSOMDHNPMZ-UHFFFAOYSA-N,COc1sc([N+](=O)[O-])cc1[N+](=O)[O-],"Not specified, most likely a prism, grating, or hybrid spect",627.8449223041908,5000.0,2044,4,False,False,TRANSMISSION,confirm,628.0,4000.0
C2736405_0,C2736405_0,C2736405,SMUKODJVMQOSAB-UHFFFAOYSA-N,CCC(CC)C(=O)Cl,PERKIN-ELMER 521 (GRATING),332.26,3903.41,3744,4,False,False,TRANSMISSION,confirm,400.0,3902.0
C2739175_0,C2739175_0,C2739175,ABFWVMFZVUBVKR-UHFFFAOYSA-N,Cl.c1ccc2c(c1)CCCN2,PERKIN-ELMER 157,667.0,4000.0,3334,2,True,False,TRANSMISSION,confirm,668.0,4000.0
C2741573_0,C2741573_0,C2741573,UXMNSLMVCBBGCW-UHFFFAOYSA-N,ClC(Cl)c1ccccc1C(Cl)(Cl)Cl,"Not specified, most likely a prism, grating, or hybrid spect",625.5199634696341,4933.399111988159,2043,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C2748212_0,C2748212_0,C2748212,KEKBLIAQVPGFMT-UHFFFAOYSA-N,CC(=O)OC1=NN(c2ccccc2)CC1,"Not specified, most likely a prism, grating, or hybrid spect",624.4497036986156,4880.429477794046,1984,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C2748223_0,C2748223_0,C2748223,XPGTVRIUDBONFO-UHFFFAOYSA-N,CC(=O)OC1=NN(c2ccccc2)CC1C,"Not specified, most likely a prism, grating, or hybrid spect",626.472209692778,4748.338081671415,1970,4,False,False,TRANSMISSION,confirm,628.0,4000.0
C27508629_0,C27508629_0,C27508629,NOEHXIHMVNEQCJ-UHFFFAOYSA-N,CC(=O)NC1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,PERKIN-ELMER 21 (GRATING),668.0,4000.0,3333,2,False,False,,confirm,668.0,4000.0
C2759548_0,C2759548_0,C2759548,FFHGCIYKPNISDY-UHFFFAOYSA-N,CCC(=O)Nc1ccc(Cl)cc1,"Not specified, most likely a prism, grating, or hybrid spect",629.4692315439621,4950.495049504951,2073,4,False,False,TRANSMISSION,confirm,630.0,4000.0
C2760318_0,C2760318_0,C2760318,JGOOIQJTIVEDES-UHFFFAOYSA-N,CCC(=O)Nc1ccc(OC)cc1,"Not specified, most likely a prism, grating, or hybrid spect",628.7607753877883,4933.399111988159,2026,4,False,False,TRANSMISSION,confirm,630.0,4000.0
