file_id,analysis_id,sample_id,inchikey,smiles_canonical,instrument,x_min,x_max,n_points,resolution,is_multifragment,has_unusual_elements,sampling_procedure,split
9aad5f38-23f9-47ab-9f27-d076b224be63,501700,44517,BZVJUWYDEMOJMH-UHFFFAOYSA-N,CCOC(=O)c1[nH]c2ccccc2c1I,Bruker ALPHA,399.65625,3996.5625,1765,4.0,False,False,Instrument type and / or accessory,confirm
9b1689ba-aaba-48d4-ac70-a9eb5bb698ab,506999,45867,VPMLDNZGHWGYCY-UHFFFAOYSA-N,CC(=O)c1cccc(N=S(=O)(c2ccccc2)C23CC(C2)C3)c1,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9b990890-e7e8-4bdd-a672-4547d77e8dfa,500064,44108,MDOMTFNYWHWANZ-UHFFFAOYSA-N,[N-]=[N+]=Nc1cc2ccc1CCc1ccc(cc1)CC2.[N-]=[NH2+],Bruker ALPHA,373.96442,3997.453,2559,4.0,True,False,Diamant-ATR,dev
9b9b8380-f437-476b-a53d-b78a6b49b6cb,573393,61628,NGNRXDUETTYMNH-UHFFFAOYSA-N,CC(C)C(Br)c1ccc(-c2ccc(-c3ccc(C(Br)C(C)C)cc3)cc2)cc1,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
9bda09a5-378e-405e-9e54-23598781da3b,499144,43878,WQTUTNVIOPLRQC-UHFFFAOYSA-N,CCCCCCCCCCCCOC(=O)C(=O)O,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9beafe5d-50fc-4e85-96b7-a31d725a625c,505899,45572,HZARWVQDVDLWQM-UHFFFAOYSA-N,CCCCS(=O)(=Nc1cccc(C)c1)C12CC(C1)C2,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,dev
9c0131b9-3928-466f-834d-1025503dcd31,499948,44079,HZAKVJDSBYCYOW-FCXVDCTMSA-N,C=CC(=O)N1[C@H](C(=O)OC)C[C@H](C(=O)O[C@@H]2C[C@H](C)CC[C@H]2C(C)C)[C@@H]1c1ccc(OC)cc1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,dev
9c2d407e-eb4b-466b-bce2-515e6e7f4017,499708,44019,QYESJEQZUOHGIQ-UHFFFAOYSA-N,CCCCC1(c2cc(OC)c3cc(-c4ccc(C(F)(F)F)cc4)c(=O)oc3c2)CCCC1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,dev
9c3129b4-9002-4f1f-9de1-99777a23603a,510746,46793,KGPPSSIWSDMFRL-UHFFFAOYSA-N,Cc1ccc2nc(-c3cc(F)c(F)c(F)c3)sc2c1,BRUKER ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9c3da599-2b27-428c-bd73-68912c4bd939,649361,82029,BDZRYAKTXQRGMS-UHFFFAOYSA-N,COC(=O)c1c(Br)c(C(=O)OC)c(Br)c(C(=O)OC)c1Br,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9c439849-96a0-4b6e-85f4-720354bf6bb7,507859,46082,HDEKBUQPCJOEAM-UHFFFAOYSA-N,O=S(=O)(NCc1ccccc1)C12CC(C1)C2,IR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9c658e42-8389-4031-880d-c4d5d7a34fb4,639226,79561,DMWOEMCLSHNHOH-UHFFFAOYSA-N,Cc1ccc2cccc(N=C(N(C)C)N(C)C)c2n1.Cc1ccc2cccc(N=C(N(C)C)N(C)C)c2n1.F[P-](F)(F)(F)(F)F.[Cu+],SHIMADZU IRTRACER-100,249.7859,4000.433,3890,,True,True,,confirm
9cabea85-c22d-4361-84f5-b51ba9839771,500324,44173,IUMDTROHWHKHGA-UHFFFAOYSA-N,CCCCCCCCn1nc2c(C(F)(F)F)cccc2c1NC(=O)C(C)(C)C,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9cd96691-d9e9-4a0e-b858-d8a7b0dfc5e2,638988,79502,AOATVJLAFLBGPZ-UHFFFAOYSA-N,O=[N+]([O-])c1cccc2c(Cl)ccnc12,SHIMADZU IRTRACER-100,249.7859,4000.433,3890,,False,False,,dev
9cf19bf4-5a43-4d02-ac3c-076e10470835,607035,72348,UEHBPGWWVJRPTJ-UHFFFAOYSA-N,CC(C)c1nc2ccccc2n2nnnc12,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,dev
9cf1f78b-703e-428d-bb9c-5ec7565f9041,20538,2586,BCJOKHQYEDXBSF-UHFFFAOYSA-N,CC(=O)Nc1ccccc1I,Bruker IFS 88,390.9628,3997.453,2547,4.0,False,False,Diamant ATR,confirm
9d2001bc-fa14-4bd4-8b87-2f577d3a0171,501764,44533,KZMFQRAJYOTACE-UHFFFAOYSA-N,[N-]=[N+]=Nc1ccc(-c2ccc(Cl)cc2)cc1.[N-]=[NH2+],Bruker ALPHA,399.65625,3996.5625,1765,4.0,True,False,Instrument type and / or accessory,confirm
