rule_id,stratum,tier,group,truth_group,wn_min,wn_max,rule_intensity,rule_shape,requires,forbids,prominence,definition,n,n_pos,prevalence,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,LR_pos,LR_pos_lo,LR_pos_hi,LR_pos_boot_lo,LR_pos_boot_hi,LR_neg,LR_neg_lo,LR_neg_hi,underpowered,fp_enriched_groups
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.05,+shape,1539,344,0.224,309,452,35,743,0.898,0.622,0.406,0.955,2.37,2.19,2.57,,,0.16,0.12,0.22,False,
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.1,position,1539,344,0.224,295,320,49,875,0.858,0.732,0.48,0.947,3.2,2.89,3.55,,,0.19,0.15,0.25,False,
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.1,+intensity,1539,344,0.224,295,320,49,875,0.858,0.732,0.48,0.947,3.2,2.89,3.55,,,0.19,0.15,0.25,False,
SMITH-BR4-BZ-MONO-690,main,group,monosubstituted benzene,aromatic_mono,680.0,700.0,any,any,,,0.1,+shape,1539,344,0.224,295,320,49,875,0.858,0.732,0.48,0.947,3.2,2.89,3.55,,,0.19,0.15,0.25,False,
SMITH-BR4-BZ-ORTHO-OOP,main,group,ortho-disubstituted benzene,aromatic_ortho,735.0,770.0,any,any,,680-700,0.01,position,1539,145,0.094,34,405,111,989,0.234,0.709,0.077,0.899,0.81,0.59,1.1,,,1.08,0.98,1.19,False,
SMITH-BR4-BZ-ORTHO-OOP,main,group,ortho-disubstituted benzene,aromatic_ortho,735.0,770.0,any,any,,680-700,0.01,+intensity,1539,145,0.094,34,405,111,989,0.234,0.709,0.077,0.899,0.81,0.59,1.1,,,1.08,0.98,1.19,False,
SMITH-BR4-BZ-ORTHO-OOP,main,group,ortho-disubstituted benzene,aromatic_ortho,735.0,770.0,any,any,,680-700,0.01,+shape,1539,145,0.094,34,405,111,989,0.234,0.709,0.077,0.899,0.81,0.59,1.1,,,1.08,0.98,1.19,False,
SMITH-BR4-BZ-ORTHO-OOP,main,group,ortho-disubstituted benzene,aromatic_ortho,735.0,770.0,any,any,,680-700,0.02,position,1539,145,0.094,37,434,108,960,0.255,0.689,0.079,0.899,0.82,0.61,1.09,,,1.08,0.98,1.2,False,
SMITH-BR4-BZ-ORTHO-OOP,main,group,ortho-disubstituted benzene,aromatic_ortho,735.0,770.0,any,any,,680-700,0.02,+intensity,1539,145,0.094,37,434,108,960,0.255,0.689,0.079,0.899,0.82,0.61,1.09,,,1.08,0.98,1.2,False,
SMITH-BR4-BZ-ORTHO-OOP,main,group,ortho-disubstituted benzene,aromatic_ortho,735.0,770.0,any,any,,680-700,0.02,+shape,1539,145,0.094,37,434,108,960,0.255,0.689,0.079,0.899,0.82,0.61,1.09,0.47,1.3,1.08,0.98,1.2,False,aldehyde_aromatic OR=2.2 (n=31); aldehydes OR=2.1 (n=32); alkyne_terminal OR=1.7 (n=10)
SMITH-BR4-BZ-ORTHO-OOP,main,group,ortho-disubstituted benzene,aromatic_ortho,735.0,770.0,any,any,,680-700,0.05,position,1539,145,0.094,40,483,105,911,0.276,0.654,0.076,0.897,0.8,0.61,1.05,,,1.11,1.0,1.23,False,
