id,index,status,phase,state_text,bytes
C75343,0,ok,gas,gas,4093
C75343,1,ok,unknown,TRANSMISSION,13008
C75343,2,end,,,0
C598389,0,ok,gas,gas,4889
C598389,1,end,,,0
C542881,0,ok,gas,gas,4140
C542881,1,ok,gas,VAPOR (ABOUT 35 mmHg),34848
C542881,2,ok,gas,VAPOR (ABOUT 3 mmHg),34790
C542881,3,ok,condensed,"SOLUTION (10% IN CCl4 FOR 3800-1333, 10% IN CS2 FOR 1333-400 CM^-^1)",34872
C542881,4,end,,,0
C2504645,0,ok,condensed,"SOLUTION (11% CCl4 FOR 3800-1300, 11% CS2 FOR 1300-650, AND 11% CCl4 FOR 650-240) VS SOLVENT",34849
C2504645,1,end,,,0
C624704,0,ok,condensed,LIQUID,33904
C624704,1,end,,,0
C79072,0,ok,condensed,SOLID (MULL),19628
C79072,1,end,,,0
C75376,0,ok,gas,gas,4031
C75376,1,end,,,0
C359137,0,ok,gas,gas,13646
C359137,1,end,,,0
C753902,0,ok,gas,gas,4175
C753902,1,end,,,0
C624737,0,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19005
C624737,1,ok,condensed,"SOLUTION (10% IN CCl4 FOR 3800-1340, AND 10% IN CS2 FOR 1340-450 CM^-^1)",37189
C624737,2,ok,condensed,SOLID (MINERAL OIL MULL),19237
C624737,3,end,,,0
C144489,0,ok,gas,gas,13793
C144489,1,ok,condensed,SOLID (MINERAL OIL MULL),19160
C144489,2,end,,,0
C557302,0,ok,gas,gas,14358
C557302,1,end,,,0
C79403,0,ok,gas,gas,6441
C79403,1,ok,condensed,SOLID (MINERAL OIL MULL),19218
C79403,2,end,,,0
C123773,0,ok,condensed,SOLID (PELLET),19628
C123773,1,ok,condensed,SOLID (SPLIT MULL),33191
C123773,2,end,,,0
C75070,0,ok,gas,GAS (180 mmHg PRESSURE),19057
C75070,1,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32677
C75218,0,ok,gas,"GAS (50 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",34411
C75218,1,ok,gas,gas,32846
C75218,2,ok,gas,gas,60657
C75218,3,ok,gas,gas,119728
C75218,4,ok,gas,gas,238399
C75218,5,ok,gas,gas,476838
C9002895,0,ok,condensed,SOLID (MINERAL OIL MULL),19704
C9002895,1,end,,,0
C64197,0,ok,gas,gas,4315
C64197,1,ok,gas,"GAS (15 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32207
